Id,Designator,Package,Quantity,Designation,Supplier and ref,In cart?,Per unit Price,Total price
1,"XOR42,XOR41,XOR4,XOR3,XOR2,XOR1,XOR0",DIP-14_W7.62mm,7,74F86,Mouser,Yes,0.59,4.13
2,5V/GND1,JST_XH_B02B-XH-A_02x2.50mm_Straight,1,Conn_01x02_Male,,Already have,,
3,"XOR_GATE0,SR_GATE0,SL_GATE0,OR_GATE1,NAND_GATE0,FlagsRight1,FlagsLogical1,FlagsLeft1,FlagsAdd0,AND_GATE1,ADD_GATE1,ADD_GATE0",DIP-20_W7.62mm,12,74F245,Mouser,Yes,0.898,10.776
4,"PDB15,PDB14,PDB13,PDB12,PDB11,PDB10,PDB9,PDB8,PD15,PD14,PD13,PD12,PD11,PD10,PD9,PD8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,16,10k,,,,
5,"OR1,OR0,DECODEROR0,DECODEOR2,DECODEOR1",DIP-14_W7.62mm,5,74F32,,,,
6,"OP2,OP1,ALU_OUT1",16pinIDC,3,Conn_01x16_Male,,,,
7,"NAND1,NAND0",DIP-14_W7.62mm,2,74F00,,,,
8,MUXCout1,DIP-16_W7.62mm,1,74F257,,,,
9,"H8,H7,H6,H4",MountingHole_3.5mm_Pad_Via,4,MountingHole,,,,
10,"H5,H3,H2,H1",MountingHole_3.5mm_Pad_Via,4,MountingHole_Pad,,,,
11,"FLAGS_OUT1,ALU_COMM1",9185067904,2,Conn_01x06_Male,,,,
12,DECODENOT0,DIP-14_W7.62mm,1,74F04,,,,
13,"DECODEAND0,AND1,AND0",DIP-14_W7.62mm,3,74F8,,,,
14,CPOWER1,CP_Radial_D8.0mm_P2.50mm,1,10uF,,,,
15,COMP1,DIP-20_W7.62mm,1,74F521,,,,
16,"C36,C35,C34,C33,C32,C31,C30,C29,C28,C27,C26,C25,C24,C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2,C1",C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,36,100nF,,,,
17,"ADD4.3,ADD4.2,ADD4.1,ADD4.0",DIP-16_W7.62mm,4,74F283,,,,
,,,,,,,,
,,,,,,,,14.906
